Peso,Altura,Edad,Sexo
75,175,21,Hombre
81,178,22,Hombre
56,162,22,Mujer
68,180,21,Mujer
79,182,24,Hombre
89,185,22,Hombre
62,157,21,Mujer
59,165,22,Mujer
83,180,23,Hombre
55,160,22,Mujer
72,174,21,Hombre
56,161,23,Mujer
84,182,22,Hombre
64,163,24,Mujer
76,172,22,Hombre
68,169,21,Mujer
58,162,24,Hombre
78,178,22,Hombre
62,157,21,Mujer
77,165,21,Hombre
71,182,22,Mujer
55,163,24,Mujer
78,174,25,Hombre
77,181,23,Hombre
81,181,22,Hombre
75,174,23,Hombre
60,167,21,Mujer
68,178,21,Hombre
68,182,22,Mujer
89,185,22,Hombre
82,190,21,Hombre
59,155,22,Mujer
63,173,21,Mujer
75,177,24,Hombre
62,174,21,Mujer
81,183,22,Hombre
